insurer_slug,kind,value,url,note
# 자동 생성: 원본 테이블 파싱 기반. 필요시 수정 후 재임포트.

samsung-fire,browser,,https://erp.samsungfire.com,설계사 전산
samsung-fire,customer,1588-5114,,
samsung-fire,incall,1566-0553,,인콜 모니터링
samsung-fire,helpdesk,1899-5005,,전산 헬프데스크
samsung-fire,terms,,https://www.samsungfire.com/page/VH.REIF0011.do,약관확인
meritz,browser,,http://sales.meritzfire.com,설계사 전산
meritz,customer,1566-7711,,
meritz,incall,1577-7711,,인콜 모니터링
meritz,helpdesk,02-3786-2777,,전산 헬프데스크
meritz,terms,,https://www.meritzfire.com/disclosure/product-announcement/product-list.do#!/,약관확인
db,browser,,https://www.mdbins.com,설계사 전산
db,customer,1588-0100,,
db,incall,1566-0757,,인콜 모니터링
db,helpdesk,02-2262-1241,,전산 헬프데스크
db,terms,,https://www.idbins.com/FWMAIV1534.do,약관확인
kb,browser,,https://nsales.kbinsure.co.kr/,설계사 전산
kb,customer,1544-0114,,
kb,incall,1544-0019,,인콜 모니터링
kb,helpdesk,1544-8119,,전산 헬프데스크
kb,terms,,https://www.kbinsure.co.kr/CG802030001.ec,약관확인
hyundai,browser,,https://sp.hi.co.kr,설계사 전산
hyundai,customer,1588-5656,,
hyundai,incall,1577-3223,,인콜 모니터링
hyundai,helpdesk,02-2628-4567,,전산 헬프데스크
hyundai,terms,,https://www.hi.co.kr/serviceAction.do?view=bin/PA/03/HHPA03010M#none,약관확인
hanwha-son,browser,,http://portal.hwgeneralins.com,설계사 전산
hanwha-son,customer,1566-8000,,
hanwha-son,incall,1670-1882,,인콜 모니터링
hanwha-son,helpdesk,02-316-0111,,전산 헬프데스크
hanwha-son,terms,,https://www.hwgeneralins.com/notice/ir/product-ing01.do,약관확인
lotte,browser,,http://lottero.lotteins.co.kr,설계사 전산
lotte,customer,1588-3344,,
lotte,incall,1600-5182,,인콜 모니터링
lotte,helpdesk,1599-8260,,전산 헬프데스크
lotte,terms,,https://www.lotteins.co.kr/web/C/D/H/cdh190.jsp,약관확인
heungkuk-son,browser,,https://sales.heungkukfire.co.kr/,설계사 전산
heungkuk-son,customer,1688-1688,,
heungkuk-son,incall,1688-6997,,인콜 모니터링
heungkuk-son,helpdesk,031-786-8088,,전산 헬프데스크
heungkuk-son,terms,,https://www.heungkukfire.co.kr/FRW/announce/insGoodsGongsiSale.do,약관확인
hana-son,browser,,https://sfa.saleshana.com/index.html,설계사 전산
hana-son,customer,1566-3000,,
hana-son,incall,02-6299-6821,,인콜 모니터링
hana-son,helpdesk,02-6670-8110,,전산 헬프데스크
hana-son,terms,,https://www.hanainsure.co.kr/w/disclosure/product/saleProduct,약관확인
nh-son,browser,,https://ss.nhfire.co.kr/,설계사 전산
nh-son,customer,1644-9000,,
nh-son,incall,1644-9600,,인콜 모니터링
nh-son,helpdesk,1644-0090,,전산 헬프데스크
nh-son,terms,,https://www.nhfire.co.kr/announce/productAnnounce/retrieveInsuranceProductsAnnounce.nhfire,약관확인
lina,browser,,https://ga.linagi.com/,설계사 전산
lina,customer,1566-5800,,
lina,incall,1566-5800,,인콜 모니터링
lina,helpdesk,02-6922-5100,,전산 헬프데스크
lina,terms,,https://www.chubb.com/kr-kr/disclosure/product.html,약관확인
aig,browser,,https://sso.aig.co.kr/gaLogin/gaLogin.jsp,설계사 전산
aig,customer,1544-2792,,
aig,incall,1544-2792,,인콜 모니터링
aig,helpdesk,02-2260-6855,,전산 헬프데스크
aig,terms,,https://www.aig.co.kr/wo/dpwot001.html?menuId=MS702,약관확인
axa,customer,1566-1566,,
yebyeol,browser,,https://mganet.mggeneralins.com,설계사 전산
yebyeol,customer,1588-5959,,
yebyeol,incall,1577-3777,,인콜 모니터링
yebyeol,helpdesk,02-3788-2261,,전산 헬프데스크
yebyeol,terms,,https://www.mggeneralins.com/PB031210DM.scp?menuId=MN0803006,약관확인
samsung-life,browser,,https://connectplus.samsunglife.com:10443/gasso/login,설계사 전산
samsung-life,customer,1588-3114,,
samsung-life,incall,1588-3115,,인콜 모니터링
samsung-life,helpdesk,02-311-4500,,전산 헬프데스크
samsung-life,terms,,https://www.samsunglife.com/individual/products/disclosure/sales/PDO-PRPRI010110M,약관확인
hanwha-life,browser,,https://hmp.hanwhalife.com/online/ga,설계사 전산
hanwha-life,customer,1588-6363,,
hanwha-life,incall,1800-6633,,인콜 모니터링
hanwha-life,helpdesk,1522-6379,,전산 헬프데스크
hanwha-life,terms,,https://hmp.hanwhalife.com/online/solutions/websquare/websquare.html?w2xPath=/online/ui/uv/gmn/uvgmn505mvw.xml,약관확인
kyobo,browser,,https://ga.kyobo.com,설계사 전산
kyobo,customer,1588-1001,,
kyobo,incall,1588-1636,,인콜 모니터링
kyobo,helpdesk,02-721-3130,,전산 헬프데스크
kyobo,terms,,https://www.kyobo.com/dgt/web/product-official/all-product/search,약관확인
shinhan,browser,,https://ga.shinhanlife.co.kr,설계사 전산
shinhan,customer,1588-5580,,
shinhan,incall,1522-2285,,인콜 모니터링
shinhan,helpdesk,02-3455-4119,,전산 헬프데스크
shinhan,terms,,https://www.shinhanlife.co.kr/hp/cdhi0010.do,약관확인
kb-life,browser,,https://sfa.kblife.co.kr/,설계사 전산
kb-life,customer,1588-3374,,
kb-life,incall,1566-2730,,인콜 모니터링
